lon,lat,ds_sd
132.21,31.391,-13.312
132.17,31.455,-9.9296
132.3,31.413,-7.0097
131.71,30.614,-16.396
131.8,30.578,-9.6027
133.93,32.667,25.942
133.96,32.538,16.525
137.28,34.147,37.244
137.33,34.22,36.644
131.72,31.544,-25.558
131.76,31.472,-28.437
131.81,31.026,-56.508
133.44,32.057,4.0611
133.3,32.19,16.192
133.08,32.788,54.037
132.98,32.835,62.104
132.93,32.776,62.22
132.32,32.027,47.414
132.43,32.025,50.041
132.42,32.166,61.113
132.48,32.097,55.657
134.7,33.325,34.91
134.7,33.25,35.829
132.35,32.366,66.968
132.25,32.416,60.023
132.37,32.296,65.78
132.29,32.254,60.929
132.22,32.285,56.712
132.2,32.377,56.1
133.91,32.896,41.746
137.15,33.796,19.519
137.17,33.871,22.476
137.64,34.488,17.887
137.74,34.497,21.221
133.85,32.768,31.408
133.83,32.843,35.477
133.35,32.015,6.0677
134.33,33.573,50.592
134.43,33.587,39.448
137.44,34.362,27.336
137.49,34.421,22.873
137.37,34.397,24.479
134.4,33.103,59.101
134.34,33.167,65.473
134.12,32.773,36.99
134.02,32.776,36.954
137.12,34.498,21.994
137.21,34.495,20.433
137.11,34.425,25.586
137.24,34.422,25.613
137.17,34.384,28.097
137.39,34.475,18.005
137.47,34.479,17.475
136.52,33.883,32.239
136.52,33.794,30.684
136.34,33.786,38.217
136.43,33.751,33.547
134.14,33.221,69.536
134.04,33.227,64.215
132.88,32.224,47.187
132.91,32.295,48.65
132.55,32.255,65.566
132.46,32.24,64.747
134.1,32.628,24.243
134.01,32.609,21.457
135.95,33.161,26.446
135.86,33.172,28.92
131.95,31.71,1.3602
131.86,31.727,-2.6812
134.12,32.448,9.7753
134.02,32.457,10.688
133.96,32.395,6.5418
138.35,34.672,26.189
138.43,34.724,17.73
132.32,31.155,-21.243
132.08,32.022,35.552
132.17,31.243,-26.734
132.29,31.23,-20.533
132.15,32.107,46.235
132.1,32.18,46.437
138.21,34.839,34.249
138.2,34.766,33.767
135.01,33.325,19.632
135.03,33.404,18.918
134.18,33.052,62.265
134.21,33.146,67.936
133.06,32.165,31.241
133.11,32.096,24.396
132.34,32.495,67.894
132.39,32.553,69.054
132.86,32.974,69.903
133.68,32.521,12.876
132.18,30.752,-22.854
132.12,30.798,-31.855
137.27,33.878,24.802
137.31,33.947,29.518
134.8,33.36,27.459
134.79,33.429,26.259
133.49,32.124,4.7246
133.42,32.197,8.6718
134.59,33.129,44.43
134.52,33.084,49.163
134.58,33.221,45.122
134.5,33.276,51.659
134.38,33.257,63.814
132.38,31.376,-7.719
132.39,31.297,-11.412
138.43,35.049,29.273
138.44,34.977,27.159
134.08,32.91,47.85
134.16,32.86,44.396
134,32.86,41.637
138.12,34.643,33.585
138.2,34.627,34.078
136.81,34.022,27.268
136.82,33.934,24.893
132.21,31.909,32.547
132.12,31.932,30.342
137.07,33.928,25.302
137.07,34.006,28.736
131.84,30.851,-47.565
131.78,30.929,-55.919
133.81,33.027,46.754
133.9,32.989,46.508
135.78,33.434,39.278
135.68,33.426,36.871
133.04,32.99,66.022
132.95,32.939,66.679
132.21,30.933,-31.499
132.13,30.891,-35.996
134.37,33.423,58.592
134.46,33.418,48.694
136.99,33.877,21.885
136.9,33.878,21.823
131.91,31.873,11.776
131.88,31.943,14.948
133.6,32.602,19.298
133.63,32.686,24.329
137.27,34.014,33.66
133.26,32.022,11.528
133.23,32.103,15.629
133.31,33.129,60.986
133.41,33.115,55.647
133.24,32.344,25.273
133.22,32.263,23.914
133.63,33.109,50.407
133.63,33.023,46.064
134.14,33.506,60.753
134.2,33.47,63.951
138.38,35.438,0.032962
132.28,33.006,37.408
132.1,32.786,20.357
138.26,35.274,34.884
136.15,34.088,35.561
138.41,35.309,12.85
138.26,35.348,29.783
138.36,35.367,11.313
138.35,35.249,25.586
138.37,35.189,28.145
132.18,32.821,30.462
132.34,32.904,49.547
138.03,35.163,45.807
138.13,35.047,48.625
135.26,33.784,12.072
135.43,33.75,19.894
135.33,33.719,17.177
132.44,32.828,62.477
132.36,32.835,53.164
132.72,32.99,67.537
136.62,34.632,23.169
137.54,34.707,-6.2062
132.18,32.907,28.747
132.26,32.936,38.818
136.33,33.881,39.227
135.31,33.639,19.362
135.36,33.566,23.4
135.21,33.613,17.267
135.21,33.534,18.928
135.3,33.503,22.279
135.14,33.505,18.19
135.45,33.545,28.256
131.51,31.152,-51.811
131.6,31.444,-33.766
135.77,33.817,26.445
133.51,33.816,26.432
133.48,33.74,32.307
132.87,33.069,69.001
