latitude,longitude,depth,ew,ns,ew_error,ns_error,ew_normal,ns_normal,ud_normal
37.33334,141.5,-44.3172,0.577355,-0.18844,0.029281,0.029227,-0.29086,0.109014,0.950534
37.33334,141.867,-35.3494,0.623589,-0.1969,0.031333,0.032891,-0.2431,0.089905,0.965826
37.33334,142.2,-28.7506,0.590892,-0.18381,0.037821,0.040613,-0.19867,0.080039,0.976792
37.33334,142.567,-22.7464,0.497732,-0.15521,0.049564,0.052948,-0.16673,0.074471,0.983186
37.33334,142.933,-17.7603,0.370282,-0.11672,0.065664,0.069356,-0.14491,0.070184,0.986953
37.33334,143.3,-13.2746,0.237631,-0.07529,0.085808,0.089747,-0.14379,0.068737,0.987218
37.33333,143.6329,-8.81842,0.084046,-0.02643,0.118348,0.122476,-0.17587,0.071728,0.981797
37.33333,143.9999,-1.9089,-0.00088,0.000695,0.141178,0.145415,-0.2013,0.065566,0.977332
37.03332,139.0002,-142.007,0.001329,-0.00048,0.04779,0.045115,-0.47328,0.217411,0.853661
37.03334,139.3671,-123.668,0.116602,-0.03561,0.034887,0.033168,-0.44203,0.246621,0.86243
37.03336,139.7001,-109.739,0.162708,-0.029,0.025813,0.025193,-0.43712,0.254707,0.862586
37.03337,140.0671,-92.0128,0.169858,-0.01408,0.025374,0.0249,-0.44198,0.244902,0.862945
37.03338,140.4331,-75.5957,0.193225,-0.03314,0.024991,0.024608,-0.41787,0.219079,0.881698
37.03338,140.8001,-60.6137,0.252413,-0.08904,0.026021,0.025738,-0.36509,0.168309,0.915632
37.03338,141.133,-50.6239,0.344502,-0.14186,0.027632,0.027318,-0.30269,0.125145,0.944838
37.03338,141.5,-40.6352,0.440306,-0.17051,0.029406,0.030022,-0.27162,0.098028,0.957398
37.03338,141.867,-32.1337,0.47795,-0.16875,0.032113,0.034766,-0.23243,0.092571,0.968197
