latitude,longitude,depth,ew,ns,ew_error,ns_error,ew_normal,ns_normal,ud_normal
38.2,140.8,-84.6,0.878081,1.334631,1.161039,1.17162,-0.46623,0.139713,0.873562
38.2,141.133,-69.1411,0.458832,1.132061,1.083144,1.09914,-0.44577,0.116615,0.887522
38.2,141.5,-53.533,3.283136,-1.21069,1.07359,1.105344,-0.38465,0.088849,0.918777
38.2,141.867,-42.1338,8.329201,-2.47384,1.328248,1.29666,-0.2945,0.064527,0.95347
38.2,142.2,-34.8,13.83382,-4.6577,1.576533,1.621131,-0.21983,0.047983,0.974357
38.2,142.567,-28.4288,22.24863,-8.00292,1.852293,2.001894,-0.18146,0.038417,0.982647
38.2,142.933,-23.0087,25.60685,-9.3062,2.290216,2.500262,-0.15869,0.031683,0.98682
38.2,143.3,-18.153,20.34415,-7.42382,2.936874,3.265079,-0.15153,0.026675,0.988093
38.2,143.633,-13.6265,8.872044,-3.26685,4.500311,5.025989,-0.16666,0.024896,0.985699
38.19999,144,-7.61387,0.001329,-0.00048,5.79883,6.441152,-0.18095,0.025655,0.983158
37.93324,139,-163.241,-0.00133,0.000484,2.261647,2.101374,-0.50438,0.193444,0.841537
37.93326,139.367,-143.441,-1.37414,0.422033,1.780798,1.758589,-0.46931,0.145203,0.871012
37.93328,139.7,-129.245,-0.81697,-0.40497,1.407173,1.390309,-0.42785,0.142071,0.892612
37.93329,140.067,-113.838,0.064663,-0.47091,1.31666,1.327269,-0.43932,0.140817,0.887225
37.9333,140.433,-97.2518,0.012315,0.346623,1.239092,1.249648,-0.46006,0.152022,0.874777
37.9333,140.8,-79.7604,0.449779,1.08474,1.14107,1.145352,-0.4543,0.151443,0.87788
37.9333,141.133,-65.2884,0.075671,1.043895,1.110552,1.118542,-0.41372,0.128682,0.901266
37.9333,141.5,-51.4745,-0.51067,0.656526,1.2029,1.164222,-0.35651,0.086333,0.930294
37.9333,141.867,-40.4374,4.714391,-0.93619,1.382823,1.461609,-0.28097,0.062215,0.957697
37.9333,142.2,-33.3109,13.83872,-4.6487,1.739207,1.705154,-0.21228,0.054536,0.975685
37.9333,142.567,-27.0628,22.57063,-8.13068,2.076895,2.069567,-0.17607,0.050585,0.983076
37.9333,142.933,-21.7956,24.60021,-8.96088,2.497013,2.608597,-0.15407,0.046091,0.986985
37.9333,143.3,-17.0285,18.77205,-6.87373,3.076591,3.405397,-0.14849,0.042203,0.988013
37.9333,143.633,-12.5593,7.692395,-2.85035,4.553346,5.180668,-0.16332,0.040241,0.985753
37.93329,144,-6.91743,-0.00048,-0.00133,5.817501,6.598753,-0.17615,0.040853,0.983516
